name,type_id
雷神自动锁定轻型导弹 I,269
巨蟒悬浮雷,270
小型护盾扩展装置 I,377
小型护盾扩展装置 II,380
护盾回充器 I,393
护盾回充器 II,394
小型护盾回充增量器 I,399
小型护盾回充增量器 II,400
微型远程护盾回充增量器,405
微型远程护盾回充增量器 II,406
基础型电容回充器,421
5MN微型跃迁推进器 I,434
1MN加力燃烧器 II,438
1MN加力燃烧器 I,439
5MN微型跃迁推进器 II,440
货柜扫描器 I,442
船体扫描器 I,443
测量扫描器 I,444
跃迁扰频器 I,447
跃迁扰频器 II,448
加特林脉冲激光器 I,450
双联轻型脉冲激光器 I,451
双联轻型集束激光器 I,452
小型聚焦脉冲激光器 I,453
小型聚焦集束激光器 I,454
四联轻型集束激光器 I,455
聚焦中型脉冲激光器 I,456
聚焦中型集束激光器 I,457
重型脉冲激光器 I,458
重型集束激光器 I,459
双联重型脉冲激光器 I,460
双联重型集束激光器 I,461
超级脉冲激光器 I,462
超级集束激光器 I,463
超光速粒子集束激光器 I,464
采矿器 II,482
采矿器 I,483
125mm加特林自动加农炮 I,484
150mm轻型自动加农炮 I,485
200mm自动加农炮 I,486
250mm轻型加农炮 I,487
280mm榴弹炮 I,488
双联180mm自动加农炮 I,489
220mm火神自动加农炮 I,490
425mm自动加农炮 I,491
650mm加农炮 I,492
720mm榴弹炮 I,493
双联425mm自动加农炮 I,494
双联650mm频射加农炮 I,495
800mm频射加农炮 I,496
1200mm加农火炮 I,497
1400mm榴弹炮 I,498
轻型导弹发射器 I,499
重型导弹发射器 I,501
鱼雷发射器 I,503
基础型电容能源继电器,506
基础护盾通量线圈,508
基础型电容通量线圈,509
基础型回转稳定器,518
回转稳定器 II,519
回转稳定器 I,520
基础型损伤控制,521
微型电容器电池,522
小型装甲维修器 I,523
小型结构维修器 I,524
停滞缠绕光束 I,526
停滞缠绕光束 II,527
小型远程电容传输装置 I,529
小型掠能器 I,530
小型能量中和器 I,533
75mm加特林磁轨炮 I,561
轻型电子疾速炮 I,562
轻型离子疾速炮 I,563
轻型中子疾速炮 I,564
150mm磁轨炮 I,565
重型电子疾速炮 I,566
双联150mm磁轨炮 I,567
重型中子疾速炮 I,568
重型离子疾速炮 I,569
250mm磁轨炮 I,570
电子疾速加农炮 I,571
双联250mm磁轨炮 I,572
中子疾速加农炮 I,573
425mm磁轨炮 I,574
离子疾速加农炮 I,575
中型电容注电器 I,577
多谱式护盾增强器 I,578
脉冲干扰器 I,580
被动锁定器 I,581
矮脚鸡级,582
秃鹫级,583
狮鹫级,584
伐木者级,585
探索级,586
裂谷级,587
死神号,588
刽子手级,589
检察官级,590
巨神兵级,591
纳维达斯级,592
特里斯坦级,593
因卡萨斯级,594
盖伦特警用船,595
帝国号,596
惩罚者级,597
分裂者级,598
爆发级,599
米玛塔尔维和船,600
伊毕斯号,601
茶隼级,602
小鹰级,603
苍鹭级,605
维拉托尔号,606
伊米卡斯级,607
阿特龙级,608
毛鲁斯级,609
吞噬级,613
女神级,614
献祭者级,615
美杜莎级,616
回声级,617
山猫级,618
剑刺级,619
鱼鹰级,620
狞獾级,621
刺客级,622
巨鸟级,623
暴君级,624
奥格诺级,625
狂怒者级,626
托勒克斯级,627
主宰级,628
断崖级,629
挑战级,630
镰刀级,631
黑鸟级,632
星空级,633
送葬者级,634
奥普克斯级豪华游轮,635
乌鸦级,638
狂暴级,639
毒蝎级,640
万王宝座级,641
灾难级,642
末日沙场级,643
台风级,644
多米尼克斯级,645
獾级,648
狐鼬级,649
涅鲁斯级,650
囤积者级,651
猛犸级,652
环绕级,653
克琉斯级,654
埃比斯级,655
米亚莫斯级,656
伊特龙级MKV,657
太空舱,670
俄洛巴斯级,671
加达里穿梭机,672
B级克隆蓝图,681
C级克隆蓝图,682
矮脚鸡级蓝图,683
秃鹫级蓝图,684
狮鹫级蓝图,685
鱼鹰级蓝图,686
狞獾级蓝图,687
乌鸦级蓝图,688
伐木者级蓝图,689
探索级蓝图,690
裂谷级蓝图,691
刺客级蓝图,692
狂暴级蓝图,693
采矿器蓝图 II,784
采矿器蓝图 I,785
轻型导弹发射器蓝图 I,786
重型导弹发射器蓝图 I,788
鱼雷发射器蓝图 I,790
雷神巡航导弹蓝图,803
鞭挞巡航导弹蓝图,804
炼狱巡航导弹蓝图,805
星爆巡航导弹蓝图,806
星爆重型导弹蓝图,807
雷神重型导弹蓝图,808
炼狱重型导弹蓝图,809
鞭挞重型导弹蓝图,810
鞭挞轻型导弹蓝图,811
炼狱轻型导弹蓝图,812
雷神轻型导弹蓝图,813
星爆轻型导弹蓝图,814
125mm加特林自动加农炮蓝图 I,819
150mm轻型自动加农炮蓝图 I,820
200mm自动加农炮蓝图 I,821
250mm轻型加农炮蓝图 I,822
280mm榴弹炮蓝图 I,823
双联180mm自动加农炮蓝图 I,824
220mm火神自动加农炮蓝图 I,825
425mm自动加农炮蓝图 I,826
650mm加农炮蓝图 I,827
720mm榴弹炮蓝图 I,828
双联425mm自动加农炮蓝图 I,829
双联650mm频射加农炮蓝图 I,830
800mm频射加农炮蓝图 I,831
1200mm加农炮蓝图 I,832
1400mm榴弹炮蓝图 I,833
加特林脉冲激光器蓝图 I,834
双联轻型脉冲激光器蓝图 I,835
双联轻型集束激光器蓝图 I,836
小型聚焦脉冲激光器 I 蓝图,837
小型聚焦集束激光器 I 蓝图,838
四联轻型集束激光器蓝图 I,839
聚焦中型脉冲激光器蓝图 I,840
聚焦中型集束激光器蓝图 I,841
重型脉冲激光器蓝图 I,842
重型集束激光器蓝图 I,843
双联重型脉冲激光器蓝图 I,844
双联重型集束激光器蓝图 I,845
超级脉冲激光器蓝图 I,846
超级集束激光器蓝图 I,847
超光速粒子集束激光器蓝图 I,848
碳铅弹蓝图 S,879
核芯弹蓝图 S,880
质子弹蓝图 S,881
硬钼弹蓝图 S,882
钛合金萨博弹蓝图 S,883
聚变弹蓝图 S,884
定相等离子弹蓝图 S,885
电磁脉冲弹蓝图 S,886
碳铅弹蓝图 M,887
核芯弹蓝图 M,888
质子弹蓝图 M,889
硬钼弹蓝图 M,890
钛合金萨博弹蓝图 M,891
聚变弹蓝图 M,892
定相等离子弹蓝图 M,893
电磁脉冲弹蓝图 M,894
碳铅弹蓝图 L,895
核芯弹蓝图 L,896
质子弹蓝图 L,897
硬钼弹蓝图 L,898
钛合金萨博弹蓝图 L,899
聚变弹蓝图 L,900
定相等离子弹蓝图 L,901
电磁脉冲弹蓝图 L,902
死神号蓝图,935
刽子手级蓝图,936
检察官级蓝图,937
巨神兵级蓝图,938
纳维达斯级蓝图,939
特里斯坦级蓝图,940
因卡萨斯级蓝图,941
帝国号蓝图,943
惩罚者级蓝图,944
分裂者级蓝图,945
爆发级蓝图,946
米玛塔尔维和船蓝图,947
伊毕斯号蓝图,948
茶隼级蓝图,949
小鹰级蓝图,950
苍鹭级蓝图,952
维拉托尔号蓝图,953
伊米卡斯级蓝图,954
阿特龙级蓝图,955
毛鲁斯级蓝图,956
吞噬级蓝图,960
女神级蓝图,961
献祭者级蓝图,962
美杜莎级蓝图,963
回声级蓝图,964
山猫级蓝图,965
剑刺级蓝图,966
加达里穿梭机蓝图,967
巨鸟级蓝图,968
暴君级蓝图,969
奥格诺级蓝图,970
狂怒者级蓝图,971
托勒克斯级蓝图,972
主宰级蓝图,973
断崖级蓝图,974
挑战级蓝图,975
镰刀级蓝图,976
黑鸟级蓝图,977
星空级蓝图,978
送葬者级蓝图,979
獾级蓝图,983
狐鼬级蓝图,984
涅鲁斯级蓝图,985
囤积者级蓝图,986
猛犸级蓝图,987
环绕级蓝图,988
克琉斯级蓝图,989
埃比斯级蓝图,990
米亚莫斯级蓝图,991
伊特龙级MKV蓝图,992
毒蝎级蓝图,994
万王宝座级蓝图,995
灾难级蓝图,996
末日沙场级蓝图,997
台风级蓝图,998
多米尼克斯级蓝图,999
俄洛巴斯级蓝图,1002
小型护盾扩展装置蓝图 I,1010
小型护盾扩展装置蓝图 II,1013
护盾回充器蓝图 I,1026
护盾回充器蓝图 II,1027
小型护盾回充增量器蓝图 I,1032
小型护盾回充增量器蓝图 II,1033
5MN微型跃迁推进器蓝图 I,1067
1MN加力燃烧器蓝图 II,1071
1MN加力燃烧器蓝图 I,1072
5MN微型跃迁推进器蓝图 II,1073
货柜扫描器蓝图 I,1074
船体扫描器蓝图 I,1075
测量扫描器蓝图 I,1076
跃迁扰频器蓝图 I,1079
跃迁扰频器蓝图 II,1080
回转稳定器蓝图 II,1095
回转稳定器蓝图 I,1096
小型装甲维修器蓝图 I,1099
小型结构维修器蓝图 I,1100
停滞缠绕光束蓝图 I,1102
停滞缠绕光束蓝图 II,1103
小型远程电容传输装置蓝图 I,1105
小型掠能器蓝图 I,1106
小型能量中和器蓝图 I,1109
75mm加特林磁轨炮蓝图 I,1112
轻型电子疾速炮蓝图 I,1113
轻型离子疾速炮蓝图 I,1114
轻型中子疾速炮蓝图 I,1115
150mm磁轨炮蓝图 I,1116
重型电子疾速炮蓝图 I,1117
双联150mm磁轨炮蓝图 I,1118
重型中子疾速炮蓝图 I,1119
重型离子疾速炮蓝图 I,1120
250mm磁轨炮蓝图 I,1121
电子疾速加农炮蓝图 I,1122
双联250mm磁轨炮蓝图 I,1123
中子疾速加农炮蓝图 I,1124
425mm磁轨炮蓝图 I,1125
离子疾速加农炮蓝图 I,1126
中型电容注电器蓝图 I,1128
多谱式护盾增强器蓝图 I,1129
铁质轨道弹蓝图 S,1130
钨质轨道弹蓝图 S,1131
铱质轨道弹蓝图 S,1132
铅质轨道弹蓝图 S,1133
钍质轨道弹蓝图 S,1134
钼质轨道弹蓝图 S,1135
锰质轨道弹蓝图 S,1136
反物质轨道弹蓝图 S,1137
铁质轨道弹蓝图 M,1138
钨质轨道弹蓝图 M,1139
铱质轨道弹蓝图 M,1140
铅质轨道弹蓝图 M,1141
钍质轨道弹蓝图 M,1142
钼质轨道弹蓝图 M,1143
锰质轨道弹蓝图 M,1144
反物质轨道弹蓝图 M,1145
铁质轨道弹蓝图 L,1146
钨质轨道弹蓝图 L,1147
铱质轨道弹蓝图 L,1148
铅质轨道弹蓝图 L,1149
钍质轨道弹蓝图 L,1150
钼质轨道弹蓝图 L,1151
锰质轨道弹蓝图 L,1152
反物质轨道弹蓝图 L,1153
射频晶体蓝图 S,1154
微波晶体蓝图 S,1155
红外晶体蓝图 S,1156
标准晶体蓝图 S,1157
紫外晶体蓝图 S,1158
X射线晶体蓝图 S,1159
伽玛晶体蓝图 S,1160
多频晶体蓝图 S,1161
射频晶体蓝图 M,1162
微波晶体蓝图 M,1163
红外晶体蓝图 M,1164
标准晶体蓝图 M,1165
紫外晶体蓝图 M,1166
X射线晶体蓝图 M,1167
伽玛晶体蓝图 M,1168
多频晶体蓝图 M,1169
射频晶体蓝图 L,1170
微波晶体蓝图 L,1171
红外晶体蓝图 L,1172
标准晶体蓝图 L,1173
紫外晶体蓝图 L,1174
X射线晶体蓝图 L,1175
伽玛晶体蓝图 L,1176
多频晶体蓝图 L,1177
高速电容注电器装料—25蓝图,1178
高速电容注电器装料—50蓝图,1179
自动锁定系统 I,1182
小型装甲维修器 II,1183
小型装甲维修器蓝图 II,1184
小型电容器电池 I,1185
小型电容器电池蓝图 I,1186
小型远程电容传输装置 II,1190
小型远程电容传输装置蓝图 II,1191
基础型超载喷注系统,1192
基础型电磁涂层,1193
艾玛岗哨炮塔,1194
电容回充器 I,1195
电容回充器蓝图 I,1196
电磁涂层 I,1197
电磁涂层 II,1198
胡蜂 I,1201
民用采矿无人机,1202
电磁涂层蓝图 I,1204
电磁涂层蓝图 II,1205
自动锁定系统蓝图 I,1208
脉冲干扰器蓝图 I,1210
被动锁定器蓝图 I,1212
胡蜂蓝图 I,1214
雷神自动锁定轻型导弹蓝图 I,1216
巨蟒悬浮雷蓝图,1217
民用采矿无人机蓝图,1218
鞭挞火箭蓝图,1220
鞭挞鱼雷蓝图,1221
双多特石,1223
干焦岩,1224
克洛基石,1225
杰斯贝矿,1226
奥贝尔石,1227
灼烧岩,1228
片麻岩,1229
凡晶石,1230
希莫非特,1231
黑赭石,1232
北极星神秘护卫舰,1233
超载喷注系统 II,1236
超载喷注系统蓝图 II,1237
基础型强化舱隔壁,1240
基础型纳米纤维内部构架,1242
超载喷注系统 I,1244
超载喷注系统蓝图 I,1245
电容通量线圈 I,1246
电容通量线圈蓝图 I,1247
电容通量线圈 II,1248
电容通量线圈蓝图 II,1249
护盾通量线圈 I,1254
护盾通量线圈蓝图 I,1255
护盾通量线圈 II,1256
护盾通量线圈蓝图 II,1257
基础型爆炸涂层,1262
爆炸涂层 I,1264
爆炸涂层蓝图 I,1265
爆炸涂层 II,1266
爆炸涂层蓝图 II,1267
基础型覆层式涂层,1272
覆层式涂层 I,1274
覆层式涂层蓝图 I,1275
覆层式涂层 II,1276
覆层式涂层蓝图 II,1277
基础型动能涂层,1282
动能涂层 I,1284
动能涂层蓝图 I,1285
动能涂层 II,1286
动能涂层蓝图 II,1287
基础型热能涂层,1292
热能涂层 I,1294
热能涂层蓝图 I,1295
热能涂层 II,1296
热能涂层蓝图 II,1297
基础型多谱式涂层,1302
多谱式涂层 I,1304
多谱式涂层蓝图 I,1305
多谱式涂层 II,1306
多谱式涂层蓝图 II,1307
基础型扩充货柜舱,1315
扩充货柜舱 I,1317
扩充货柜舱蓝图 I,1318
扩充货柜舱 II,1319
扩充货柜舱蓝图 II,1320
强化舱隔壁 I,1333
强化舱隔壁蓝图 I,1334
强化舱隔壁 II,1335
强化舱隔壁蓝图 II,1336
基础型反应堆控制元件,1351
反应堆控制元件 I,1353
反应堆控制元件蓝图 I,1354
反应堆控制元件 II,1355
反应堆控制元件蓝图 II,1356
CharacterType,1373
CharacterLegacy10,1374
CharacterLegacy3,1375
CharacterLegacy4,1376
CharacterLegacy5,1377
CharacterLegacy6,1378
CharacterLegacy11,1379
CharacterLegacy2,1380
CharacterLegacy12,1381
CharacterLegacy9,1382
CharacterLegacy1,1383
CharacterLegacy7,1384
CharacterLegacy8,1385
CharacterLegacy13,1386
基础型惯性稳定器,1401
惯性稳定器 I,1403
惯性稳定器蓝图 I,1404
惯性稳定器 II,1405
惯性稳定器蓝图 II,1406
基础护盾能源继电器,1419
护盾能源继电器 II,1422
护盾能源继电器蓝图 II,1423
自动锁定系统 II,1436
自动锁定系统蓝图 II,1437
电容能源继电器 I,1445
电容能源继电器蓝图 I,1446
电容能源继电器 II,1447
电容能源继电器蓝图 II,1448
空间站（加达里1）,1529
空间站（加达里2）,1530
空间站（加达里3）,1531
基础型能源诊断系统,1537
能源诊断系统 I,1539
能源诊断系统蓝图 I,1540
能源诊断系统 II,1541
能源诊断系统蓝图 II,1542
小型质子立体炸弹 I,1547
小型质子立体炸弹蓝图 I,1548
小型质子立体炸弹 II,1549
小型质子立体炸弹蓝图 II,1550
小型引力子立体炸弹 I,1551
小型引力子立体炸弹蓝图 I,1552
小型引力子立体炸弹 II,1553
小型引力子立体炸弹蓝图 II,1554
小型等离子立体炸弹 I,1557
小型等离子立体炸弹蓝图 I,1558
小型等离子立体炸弹 II,1559
小型等离子立体炸弹蓝图 II,1560
小型EMP立体炸弹 I,1563
小型EMP立体炸弹蓝图 I,1564
小型EMP立体炸弹 II,1565
小型EMP立体炸弹蓝图 II,1566
艾玛血统加成,1601
尼库恩纳血统加成,1602
赛维勒血统加成,1603
蒂泰斯血统加成,1604
盖伦特血统加成,1605
印塔基血统加成,1606
赛毕斯托加成,1607
布鲁特血统加成,1608
电脑专家加成,1611
统筹头脑加成,1612
标准DNA模版加成,1613
杀手本性加成,1614
灵巧双手加成,1615
结构理解加成,1616
创造性思维加成,1617
能说会道加成,1618
八月风度者加成,1619
洞察大师加成,1620
超过载忍受加成,1621
向量估算加成,1622
地质敏感加成,1623
信条巩固加成,1624
三维思想加成,1625
快速移植加成,1626
增效剂免疫加成,1627
疼痛恐惧加成,1628
重力恐惧加成,1629
综合恐惧加成,1630
幽闭恐怖症加成,1631
孤独恐惧症加成,1632
不洁恐惧症加成,1633
活理恐怖症加成,1634
仇外综合症加成,1635
机械愚弱加成,1636
虚弱DNA结构加成,1639
目光短浅加成,1640
铺张浪费加成,1641
多动症加成,1642
抑郁狂躁加成,1643
强健免疫加成,1644
艾玛军事学院飞行员加成,1650
艾玛军事学院炮手加成,1651
艾玛科技学校工程学加成,1652
艾玛科技学校电子学加成,1653
艾玛贸易学校商业加成,1654
艾玛贸易学校工业加成,1655
加达里军事学院飞行员加成,1657
加达里军事学院炮手加成,1658
加达里科技学校工程学加成,1659
加达里科技学校电子学加成,1660
加达里贸易学校商业加成,1661
加达里贸易学校工业加成,1662
盖伦特军事学院飞行员加成,1663
盖伦特军事学院炮手加成,1664
盖伦特科技学校工程学加成,1665
盖伦特科技学校电子学加成,1666
盖伦特贸易学校商业加成,1667
盖伦特贸易学校工业加成,1668
米玛塔尔军事学院飞行员加成,1669
米玛塔尔军事学院炮手加成,1670
米玛塔尔科技学校工程学加成,1671
米玛塔尔科技学校电子学加成,1672
米玛塔尔贸易学校商业加成,1673
米玛塔尔贸易学校工业加成,1674
赏金猎人加成,1675
科学家加成,1676
企业家加成,1677
军团团长加成,1678
隐秘行动加成,1679
海军统帅加成,1680
'基础'电磁护盾增效器,1798
'基础'热能护盾增效器,1800
'基础'动能护盾增效器,1802
'基础'爆炸护盾增效器,1804
电磁护盾增效器 I,1808
电磁护盾增效器蓝图 I,1809
鞭挞自动锁定轻型导弹 I,1810
鞭挞自动锁定轻型导弹蓝图 I,1811
星爆自动锁定轻型导弹 I,1814
星爆自动锁定轻型导弹蓝图 I,1815
炼狱自动锁定轻型导弹 I,1816
炼狱自动锁定轻型导弹蓝图 I,1817
鞭挞自动锁定重型导弹 I,1818
鞭挞自动锁定重型导弹蓝图 I,1819
雷神自动锁定重型导弹 I,1820
雷神自动锁定重型导弹蓝图 I,1821
星爆自动锁定重型导弹 I,1822
星爆自动锁定重型导弹蓝图 I,1823
炼狱自动锁定重型导弹 I,1824
炼狱自动锁定重型导弹蓝图 I,1825
鞭挞自动锁定巡航导弹 I,1826
鞭挞自动锁定巡航导弹蓝图 I,1827
雷神自动锁定巡航导弹 I,1828
雷神自动锁定巡航导弹蓝图 I,1829
星爆自动锁定巡航导弹 I,1830
星爆自动锁定巡航导弹蓝图 I,1831
炼狱自动锁定巡航导弹 I,1832
炼狱自动锁定巡航导弹蓝图 I,1833
船体扫描器 II,1855
船体扫描器蓝图 II,1856
轻型快速导弹发射器 I,1875
轻型快速导弹发射器蓝图 I,1876
轻型快速导弹发射器 II,1877
轻型快速导弹发射器蓝图 II,1878
基础型散热槽,1893
统合部警用护卫舰,1896
统合部特警护卫舰,1898
统合部军用护卫舰,1900
统合部特勤护卫舰,1902
统合部警用巡洋舰,1904
统合部警用战列舰,1912
统合部特勤战列舰,1914
统合部特警战列舰,1916
统合部军用战列舰,1918
艾玛中继空间站,1926
艾玛军事空间站,1927
艾玛工业空间站,1928
艾玛标准空间站,1929
艾玛矿冶空间站,1930
艾玛研究空间站,1931
艾玛贸易站,1932
恩赐者级,1944
恩赐者级蓝图,1945
基础型雷达支援阵列,1946
雷达ECCM发生器 I,1947
磁力ECM I,1948
基础型信号放大器,1949
基础型索敌增强器,1951
感应增强器 II,1952
引力ECM I,1955
雷达ECM I,1956
多谱式ECM I,1957
光雷达ECM I,1958
ECCM投射器 I,1959
ECCM投射器 II,1960
远程感应增强器 I,1963
远程感应增强器 II,1964
远程感应抑阻器 I,1968
远程感应抑阻器 II,1969
感应增强器 I,1973
索敌计算机 I,1977
索敌计算机 II,1978
基础型光雷达支援阵列,1982
基础型引力支援阵列,1983
基础型磁力支援阵列,1984
基础型多谱感应器支援阵列,1985
信号放大器 I,1986
信号放大器 II,1987
索敌增强器 I,1998
索敌增强器 II,1999
诱导力场压制,2001
光雷达ECCM发生器 I,2002
磁力ECCM发生器 I,2003
引力ECCM发生器 I,2004
全效ECCM发生器 I,2005
启示级,2006
启示级蓝图,2007
诱导力场导航系统,2008
超级旗舰建造设施,2009
叛军头领,2010
监狱设施,2011
恐怖份子头目,2012
人质,2013
行星（海洋）,2014
行星（熔岩）,2015
行星（贫瘠）,2016
行星（风暴）,2017
中型电容器电池 I,2018
中型电容器电池蓝图 I,2019
大型电容器电池 I,2020
大型电容器电池蓝图 I,2021
巨型电容器电池 I,2022
巨型电容器电池蓝图 I,2023
中型电容注电器 II,2024
中型电容注电器蓝图 II,2025
海盗监测阵列 1,2026
海盗监测阵列 2,2027
海盗监测阵列 3,2028
海盗监测阵列 4,2029
海盗监测阵列 5,2030
诱捕阵列 1,2031
电容回充器 II,2032
电容回充器蓝图 II,2033
诱捕阵列 2,2034
诱捕阵列 3,2035
诱捕阵列 4,2036
诱捕阵列 5,2037
货柜扫描器 II,2038
货柜扫描器蓝图 II,2039
矿石勘探阵列 1,2040
矿石勘探阵列 2,2041
矿石勘探阵列 3,2042
矿石勘探阵列 4,2043
矿石勘探阵列 5,2044
SARO 护卫舰,2045
损伤控制 I,2046
损伤控制装备蓝图 I,2047
损伤控制 II,2048
损伤控制装备蓝图 II,2049
吉斯塔姆多谱式护盾增强器 C型,2050
雇佣兵训练员,2052
勘探网络 1,2053
勘探网络 2,2054
勘探网络 3,2055
勘探网络 4,2056
勘探网络 5,2057
量子通量发生器 1,2058
量子通量发生器 2,2059
量子通量发生器 3,2060
量子通量发生器 4,2061
量子通量发生器 5,2062
行星（等离子）,2063
EVE之门,2064
派特里基亚·劳瑞得的死神号飞船,2065
卡斯顿·伦丹的台风级飞船,2066
空间站（星际捷运）,2071
阿妮蕊·斯嘉丽,2072
微生物,2073
扎茨玛特,2074
统一控股集团指挥官准入钥匙,2075
加速轨道钥匙,2076
艾玛护卫舰货柜,2077
微风级,2078
格鲁汀 核心加强植入体 CA-1,2082
彩虹女神探针发射器原型机,2083
被绑架的公民,2093
加达里超级航母的残骸,2096
艾玛超级航母的残骸,2097
菲诺德的破烂驱逐舰,2098
菲诺德的DNA,2100
盖伦特超级航母的残骸,2101
米玛塔尔超级航母的残骸,2102
远距索敌计算机 I,2103
远距索敌计算机 II,2104
艾玛航母的残骸,2105
加达里航母的残骸,2106
盖伦特航母的残骸,2107
索敌扰断器 I,2108
索敌扰断器 II,2109
米玛塔尔航母的残骸,2110
艾玛货舰的残骸,2111
加达里货舰的残骸,2112
盖伦特货舰的残骸,2113
米玛塔尔货舰的残骸,2114
艾玛无畏舰的残骸,2115
加达里无畏舰的的残骸,2116
脉冲干扰器 II,2117
脉冲干扰器蓝图 II,2118
盖伦特无畏舰的残骸,2119
米玛塔尔无畏舰的残骸,2120
艾玛泰坦的残骸,2121
加达里泰坦的残骸,2122
盖伦特泰坦的残骸,2123
米玛塔尔泰坦的残骸,2124
阿纳吉斯,2126
艾玛外交官邸,2127
罗赛德的驱逐舰,2128
贫瘠行星低级指挥中心,2129
贫瘠行星标准指挥中心,2130
贫瘠行星加强指挥中心,2131
贫瘠行星高级指挥中心,2132
贫瘠行星精英指挥中心,2133
气体行星低级指挥中心,2134
气体行星标准指挥中心,2135
气体行星加强指挥中心,2136
气体行星高级指挥中心,2137
气体行星精英指挥中心,2138
冰体行星低级指挥中心,2139
冰体行星标准指挥中心,2140
冰体行星加强指挥中心,2141
冰体行星高级指挥中心,2142
冰体行星精英指挥中心,2143
熔岩行星低级指挥中心,2144
熔岩行星标准指挥中心,2145
熔岩行星加强指挥中心,2146
熔岩行星高级指挥中心,2147
熔岩行星精英指挥中心,2148
海洋行星低级指挥中心,2149
海洋行星标准指挥中心,2150
海洋行星加强指挥中心,2151
海洋行星高级指挥中心,2152
海洋行星精英指挥中心,2153
等离子行星低级指挥中心,2154
等离子行星标准指挥中心,2155
等离子行星加强指挥中心,2156
等离子行星高级指挥中心,2157
等离子行星精英指挥中心,2158
风暴行星低级指挥中心,2159
风暴行星标准指挥中心,2160
磨难级,2161
磨难级蓝图,2162
统合部收集舰,2163
幽魂巡航导弹,2165
渗透者 I,2173
渗透者蓝图 I,2174
渗透者 II,2175
渗透者蓝图 II,2176
古斯塔斯星爆超大型巡航导弹,2178
萨沙怒火巡航导弹蓝图,2179
古斯塔斯鞭挞超大型巡航导弹,2180
米玛塔尔外交官邸,2181
古斯塔斯炼狱超大型巡航导弹,2182
战锤 I,2183
战锤蓝图 I,2184
战锤 II,2185
战锤蓝图 II,2186
逆戟鲸级货柜,2187
古斯塔斯雷神超大型巡航导弹,2188
被无人机侵蚀的多米尼克斯级,2189
伦因·梅顿,2190
安特姆·尼欧,2191
昆达利尼宣言,2192
执政官 I,2193
执政官蓝图 I,2194
执政官 II,2195
执政官蓝图 II,2196
环保采矿设备,2197
一箱环保采矿设备,2198
原型防弹衣织布,2199
