name,type_id,1st,2nd,3rd,4th,5th
800mm频射加农炮 I,496,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
1200mm加农火炮 I,497,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
1400mm榴弹炮 I,498,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
轻型导弹发射器 I,499,舰船装备,炮台和发射器,导弹发射器,轻型导弹发射器,
重型导弹发射器 I,501,舰船装备,炮台和发射器,导弹发射器,重型发射器,
鱼雷发射器 I,503,舰船装备,炮台和发射器,导弹发射器,鱼雷发射器,
基础型电容能源继电器,506,舰船装备,工程装备,电容能源继电器,,
基础护盾通量线圈,508,舰船装备,护盾,护盾通量线圈,,
基础型电容通量线圈,509,舰船装备,工程装备,电容通量线圈,,
基础型回转稳定器,518,舰船装备,炮台和发射器,武器升级,回转稳定器,
回转稳定器 II,519,舰船装备,炮台和发射器,武器升级,回转稳定器,
回转稳定器 I,520,舰船装备,炮台和发射器,武器升级,回转稳定器,
基础型损伤控制,521,舰船装备,船体和装甲,损伤控制,,
微型电容器电池,522,舰船装备,工程装备,电容电池,微型,
小型装甲维修器 I,523,舰船装备,船体和装甲,装甲维修器,小型,
小型结构维修器 I,524,舰船装备,船体和装甲,结构维修器,小型,
停滞缠绕光束 I,526,舰船装备,电子战,停滞缠绕光束,,
停滞缠绕光束 II,527,舰船装备,电子战,停滞缠绕光束,,
小型远程电容传输装置 I,529,舰船装备,工程装备,远程电容传输装置,小型,
小型掠能器 I,530,舰船装备,工程装备,掠能器,小型,
小型能量中和器 I,533,舰船装备,工程装备,能量中和器,小型,
75mm加特林磁轨炮 I,561,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
轻型电子疾速炮 I,562,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
轻型离子疾速炮 I,563,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
轻型中子疾速炮 I,564,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
150mm磁轨炮 I,565,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
重型电子疾速炮 I,566,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
双联150mm磁轨炮 I,567,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
重型中子疾速炮 I,568,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
重型离子疾速炮 I,569,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
250mm磁轨炮 I,570,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
电子疾速加农炮 I,571,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
双联250mm磁轨炮 I,572,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
中子疾速加农炮 I,573,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
425mm磁轨炮 I,574,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
离子疾速加农炮 I,575,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
中型电容注电器 I,577,舰船装备,工程装备,电容注电器,中型,
多谱式护盾增强器 I,578,舰船装备,护盾,护盾增强系统,多谱式护盾增强器,
脉冲干扰器 I,580,舰船装备,电子战,ECM脉冲波,,
被动锁定器 I,581,舰船装备,电子学和感应器升级,被动索敌系统,,
矮脚鸡级,582,舰船,护卫舰,标准护卫舰,加达里,
秃鹫级,583,舰船,护卫舰,标准护卫舰,加达里,
狮鹫级,584,舰船,护卫舰,标准护卫舰,加达里,
伐木者级,585,舰船,护卫舰,标准护卫舰,米玛塔尔,
探索级,586,舰船,护卫舰,标准护卫舰,米玛塔尔,
裂谷级,587,舰船,护卫舰,标准护卫舰,米玛塔尔,
死神号,588,舰船,轻型护卫舰,米玛塔尔,,
刽子手级,589,舰船,护卫舰,标准护卫舰,艾玛,
检察官级,590,舰船,护卫舰,标准护卫舰,艾玛,
巨神兵级,591,舰船,护卫舰,标准护卫舰,艾玛,
纳维达斯级,592,舰船,护卫舰,标准护卫舰,盖伦特,
特里斯坦级,593,舰船,护卫舰,标准护卫舰,盖伦特,
因卡萨斯级,594,舰船,护卫舰,标准护卫舰,盖伦特,
帝国号,596,舰船,轻型护卫舰,艾玛,,
惩罚者级,597,舰船,护卫舰,标准护卫舰,艾玛,
分裂者级,598,舰船,护卫舰,标准护卫舰,米玛塔尔,
爆发级,599,舰船,护卫舰,标准护卫舰,米玛塔尔,
伊毕斯号,601,舰船,轻型护卫舰,加达里,,
茶隼级,602,舰船,护卫舰,标准护卫舰,加达里,
小鹰级,603,舰船,护卫舰,标准护卫舰,加达里,
苍鹭级,605,舰船,护卫舰,标准护卫舰,加达里,
维拉托尔号,606,舰船,轻型护卫舰,盖伦特,,
伊米卡斯级,607,舰船,护卫舰,标准护卫舰,盖伦特,
阿特龙级,608,舰船,护卫舰,标准护卫舰,盖伦特,
毛鲁斯级,609,舰船,护卫舰,标准护卫舰,盖伦特,
献祭者级,615,舰船,特别版舰船,特别版轻型护卫舰,,
回声级,617,舰船,特别版舰船,特别版轻型护卫舰,,
鱼鹰级,620,舰船,巡洋舰,标准巡洋舰,加达里,
狞獾级,621,舰船,巡洋舰,标准巡洋舰,加达里,
刺客级,622,舰船,巡洋舰,标准巡洋舰,米玛塔尔,
巨鸟级,623,舰船,巡洋舰,标准巡洋舰,加达里,
暴君级,624,舰船,巡洋舰,标准巡洋舰,艾玛,
奥格诺级,625,舰船,巡洋舰,标准巡洋舰,艾玛,
狂怒者级,626,舰船,巡洋舰,标准巡洋舰,盖伦特,
托勒克斯级,627,舰船,巡洋舰,标准巡洋舰,盖伦特,
主宰级,628,舰船,巡洋舰,标准巡洋舰,艾玛,
断崖级,629,舰船,巡洋舰,标准巡洋舰,米玛塔尔,
挑战级,630,舰船,巡洋舰,标准巡洋舰,米玛塔尔,
镰刀级,631,舰船,巡洋舰,标准巡洋舰,米玛塔尔,
黑鸟级,632,舰船,巡洋舰,标准巡洋舰,加达里,
星空级,633,舰船,巡洋舰,标准巡洋舰,盖伦特,
送葬者级,634,舰船,巡洋舰,标准巡洋舰,盖伦特,
奥普克斯级豪华游轮,635,舰船,特别版舰船,特别版巡洋舰,,
乌鸦级,638,舰船,战列舰,标准战列舰,加达里,
狂暴级,639,舰船,战列舰,标准战列舰,米玛塔尔,
毒蝎级,640,舰船,战列舰,标准战列舰,加达里,
万王宝座级,641,舰船,战列舰,标准战列舰,盖伦特,
灾难级,642,舰船,战列舰,标准战列舰,艾玛,
末日沙场级,643,舰船,战列舰,标准战列舰,艾玛,
台风级,644,舰船,战列舰,标准战列舰,米玛塔尔,
多米尼克斯级,645,舰船,战列舰,标准战列舰,盖伦特,
獾级,648,舰船,运载舰和工业舰,标准运载舰,加达里,
狐鼬级,649,舰船,运载舰和工业舰,标准运载舰,加达里,
涅鲁斯级,650,舰船,运载舰和工业舰,标准运载舰,盖伦特,
囤积者级,651,舰船,运载舰和工业舰,标准运载舰,米玛塔尔,
猛犸级,652,舰船,运载舰和工业舰,标准运载舰,米玛塔尔,
环绕级,653,舰船,运载舰和工业舰,标准运载舰,米玛塔尔,
克琉斯级,654,舰船,运载舰和工业舰,标准运载舰,盖伦特,
埃比斯级,655,舰船,运载舰和工业舰,标准运载舰,盖伦特,
米亚莫斯级,656,舰船,运载舰和工业舰,标准运载舰,盖伦特,
伊特龙级MKV,657,舰船,运载舰和工业舰,标准运载舰,盖伦特,
俄洛巴斯级,671,舰船,旗舰,泰坦,盖伦特,
加达里穿梭机,672,舰船,穿梭机,加达里,,
矮脚鸡级蓝图,683,蓝图和反应,舰船,护卫舰,加达里,
秃鹫级蓝图,684,蓝图和反应,舰船,护卫舰,加达里,
狮鹫级蓝图,685,蓝图和反应,舰船,护卫舰,加达里,
鱼鹰级蓝图,686,蓝图和反应,舰船,巡洋舰,加达里,
狞獾级蓝图,687,蓝图和反应,舰船,巡洋舰,加达里,
乌鸦级蓝图,688,蓝图和反应,舰船,战列舰,加达里,
伐木者级蓝图,689,蓝图和反应,舰船,护卫舰,米玛塔尔,
探索级蓝图,690,蓝图和反应,舰船,护卫舰,米玛塔尔,
裂谷级蓝图,691,蓝图和反应,舰船,护卫舰,米玛塔尔,
刺客级蓝图,692,蓝图和反应,舰船,巡洋舰,米玛塔尔,
狂暴级蓝图,693,蓝图和反应,舰船,战列舰,米玛塔尔,
采矿器蓝图 I,785,蓝图和反应,舰船装备,采集设备,采矿激光器,
轻型导弹发射器蓝图 I,786,蓝图和反应,舰船装备,炮台和发射器,导弹发射器,
重型导弹发射器蓝图 I,788,蓝图和反应,舰船装备,炮台和发射器,导弹发射器,
鱼雷发射器蓝图 I,790,蓝图和反应,舰船装备,炮台和发射器,导弹发射器,
雷神巡航导弹蓝图,803,蓝图和反应,军火和弹药,导弹,巡航导弹,
鞭挞巡航导弹蓝图,804,蓝图和反应,军火和弹药,导弹,巡航导弹,
炼狱巡航导弹蓝图,805,蓝图和反应,军火和弹药,导弹,巡航导弹,
星爆巡航导弹蓝图,806,蓝图和反应,军火和弹药,导弹,巡航导弹,
星爆重型导弹蓝图,807,蓝图和反应,军火和弹药,导弹,重型导弹,
雷神重型导弹蓝图,808,蓝图和反应,军火和弹药,导弹,重型导弹,
炼狱重型导弹蓝图,809,蓝图和反应,军火和弹药,导弹,重型导弹,
鞭挞重型导弹蓝图,810,蓝图和反应,军火和弹药,导弹,重型导弹,
鞭挞轻型导弹蓝图,811,蓝图和反应,军火和弹药,导弹,轻型导弹,
炼狱轻型导弹蓝图,812,蓝图和反应,军火和弹药,导弹,轻型导弹,
雷神轻型导弹蓝图,813,蓝图和反应,军火和弹药,导弹,轻型导弹,
星爆轻型导弹蓝图,814,蓝图和反应,军火和弹药,导弹,轻型导弹,
125mm加特林自动加农炮蓝图 I,819,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,小型
150mm轻型自动加农炮蓝图 I,820,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,小型
200mm自动加农炮蓝图 I,821,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,小型
250mm轻型加农炮蓝图 I,822,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,小型
280mm榴弹炮蓝图 I,823,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,小型
双联180mm自动加农炮蓝图 I,824,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,中型
220mm火神自动加农炮蓝图 I,825,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,中型
425mm自动加农炮蓝图 I,826,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,中型
650mm加农炮蓝图 I,827,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,中型
720mm榴弹炮蓝图 I,828,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,中型
双联425mm自动加农炮蓝图 I,829,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,大型
双联650mm频射加农炮蓝图 I,830,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,大型
800mm频射加农炮蓝图 I,831,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,大型
1200mm加农炮蓝图 I,832,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,大型
1400mm榴弹炮蓝图 I,833,蓝图和反应,舰船装备,炮台和发射器,射弹炮台,大型
加特林脉冲激光器蓝图 I,834,蓝图和反应,舰船装备,炮台和发射器,能量炮台,小型
双联轻型脉冲激光器蓝图 I,835,蓝图和反应,舰船装备,炮台和发射器,能量炮台,小型
双联轻型集束激光器蓝图 I,836,蓝图和反应,舰船装备,炮台和发射器,能量炮台,小型
小型聚焦脉冲激光器 I 蓝图,837,蓝图和反应,舰船装备,炮台和发射器,能量炮台,小型
小型聚焦集束激光器 I 蓝图,838,蓝图和反应,舰船装备,炮台和发射器,能量炮台,小型
四联轻型集束激光器蓝图 I,839,蓝图和反应,舰船装备,炮台和发射器,能量炮台,中型
聚焦中型脉冲激光器蓝图 I,840,蓝图和反应,舰船装备,炮台和发射器,能量炮台,中型
聚焦中型集束激光器蓝图 I,841,蓝图和反应,舰船装备,炮台和发射器,能量炮台,中型
重型脉冲激光器蓝图 I,842,蓝图和反应,舰船装备,炮台和发射器,能量炮台,中型
重型集束激光器蓝图 I,843,蓝图和反应,舰船装备,炮台和发射器,能量炮台,中型
双联重型脉冲激光器蓝图 I,844,蓝图和反应,舰船装备,炮台和发射器,能量炮台,大型
双联重型集束激光器蓝图 I,845,蓝图和反应,舰船装备,炮台和发射器,能量炮台,大型
超级脉冲激光器蓝图 I,846,蓝图和反应,舰船装备,炮台和发射器,能量炮台,大型
超级集束激光器蓝图 I,847,蓝图和反应,舰船装备,炮台和发射器,能量炮台,大型
超光速粒子集束激光器蓝图 I,848,蓝图和反应,舰船装备,炮台和发射器,能量炮台,大型
碳铅弹蓝图 S,879,蓝图和反应,军火和弹药,射弹弹药,小型,
核芯弹蓝图 S,880,蓝图和反应,军火和弹药,射弹弹药,小型,
质子弹蓝图 S,881,蓝图和反应,军火和弹药,射弹弹药,小型,
硬钼弹蓝图 S,882,蓝图和反应,军火和弹药,射弹弹药,小型,
钛合金萨博弹蓝图 S,883,蓝图和反应,军火和弹药,射弹弹药,小型,
聚变弹蓝图 S,884,蓝图和反应,军火和弹药,射弹弹药,小型,
定相等离子弹蓝图 S,885,蓝图和反应,军火和弹药,射弹弹药,小型,
电磁脉冲弹蓝图 S,886,蓝图和反应,军火和弹药,射弹弹药,小型,
碳铅弹蓝图 M,887,蓝图和反应,军火和弹药,射弹弹药,中型,
核芯弹蓝图 M,888,蓝图和反应,军火和弹药,射弹弹药,中型,
质子弹蓝图 M,889,蓝图和反应,军火和弹药,射弹弹药,中型,
硬钼弹蓝图 M,890,蓝图和反应,军火和弹药,射弹弹药,中型,
钛合金萨博弹蓝图 M,891,蓝图和反应,军火和弹药,射弹弹药,中型,
聚变弹蓝图 M,892,蓝图和反应,军火和弹药,射弹弹药,中型,
定相等离子弹蓝图 M,893,蓝图和反应,军火和弹药,射弹弹药,中型,
电磁脉冲弹蓝图 M,894,蓝图和反应,军火和弹药,射弹弹药,中型,
碳铅弹蓝图 L,895,蓝图和反应,军火和弹药,射弹弹药,大型,
核芯弹蓝图 L,896,蓝图和反应,军火和弹药,射弹弹药,大型,
质子弹蓝图 L,897,蓝图和反应,军火和弹药,射弹弹药,大型,
硬钼弹蓝图 L,898,蓝图和反应,军火和弹药,射弹弹药,大型,
钛合金萨博弹蓝图 L,899,蓝图和反应,军火和弹药,射弹弹药,大型,
聚变弹蓝图 L,900,蓝图和反应,军火和弹药,射弹弹药,大型,
定相等离子弹蓝图 L,901,蓝图和反应,军火和弹药,射弹弹药,大型,
电磁脉冲弹蓝图 L,902,蓝图和反应,军火和弹药,射弹弹药,大型,
刽子手级蓝图,936,蓝图和反应,舰船,护卫舰,艾玛,
检察官级蓝图,937,蓝图和反应,舰船,护卫舰,艾玛,
巨神兵级蓝图,938,蓝图和反应,舰船,护卫舰,艾玛,
纳维达斯级蓝图,939,蓝图和反应,舰船,护卫舰,盖伦特,
特里斯坦级蓝图,940,蓝图和反应,舰船,护卫舰,盖伦特,
因卡萨斯级蓝图,941,蓝图和反应,舰船,护卫舰,盖伦特,
惩罚者级蓝图,944,蓝图和反应,舰船,护卫舰,艾玛,
分裂者级蓝图,945,蓝图和反应,舰船,护卫舰,米玛塔尔,
爆发级蓝图,946,蓝图和反应,舰船,护卫舰,米玛塔尔,
茶隼级蓝图,949,蓝图和反应,舰船,护卫舰,加达里,
小鹰级蓝图,950,蓝图和反应,舰船,护卫舰,加达里,
苍鹭级蓝图,952,蓝图和反应,舰船,护卫舰,加达里,
伊米卡斯级蓝图,954,蓝图和反应,舰船,护卫舰,盖伦特,
阿特龙级蓝图,955,蓝图和反应,舰船,护卫舰,盖伦特,
毛鲁斯级蓝图,956,蓝图和反应,舰船,护卫舰,盖伦特,
加达里穿梭机蓝图,967,蓝图和反应,舰船,穿梭机,加达里,
巨鸟级蓝图,968,蓝图和反应,舰船,巡洋舰,加达里,
暴君级蓝图,969,蓝图和反应,舰船,巡洋舰,艾玛,
奥格诺级蓝图,970,蓝图和反应,舰船,巡洋舰,艾玛,
狂怒者级蓝图,971,蓝图和反应,舰船,巡洋舰,盖伦特,
托勒克斯级蓝图,972,蓝图和反应,舰船,巡洋舰,盖伦特,
主宰级蓝图,973,蓝图和反应,舰船,巡洋舰,艾玛,
断崖级蓝图,974,蓝图和反应,舰船,巡洋舰,米玛塔尔,
挑战级蓝图,975,蓝图和反应,舰船,巡洋舰,米玛塔尔,
镰刀级蓝图,976,蓝图和反应,舰船,巡洋舰,米玛塔尔,
黑鸟级蓝图,977,蓝图和反应,舰船,巡洋舰,加达里,
星空级蓝图,978,蓝图和反应,舰船,巡洋舰,盖伦特,
送葬者级蓝图,979,蓝图和反应,舰船,巡洋舰,盖伦特,
獾级蓝图,983,蓝图和反应,舰船,运载舰,加达里,
